Brand,Name,Location,Latitude (generated),Longitude (generated),Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Toyota,Toyota Innova 2.5 V Diesel 7-seater,Chennai,13.09,80.27,2011,248000,Diesel,Manual,Second,12.8,2494,102,7,9.2
Toyota,Toyota Fortuner 3.0 Diesel,Chennai,13.09,80.27,2010,242000,Diesel,Manual,First,11.5,2982,171,7,11
Toyota,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,13.09,80.27,2005,240000,Diesel,Manual,Fourth & Above,12.8,2494,102,8,5.1
Mahindra,Mahindra Xylo D2 BSIV,Chennai,13.09,80.27,2013,234000,Diesel,Manual,Second,14,2489,95,8,3.5
Chevrolet,Chevrolet Captiva LT,Jaipur,26.9167,75.8667,2009,232000,Diesel,Manual,First,11.5,1991,147.9,7,3.5
Honda,Honda City 1.5 S MT,Delhi,28.7,77.2,2009,231673,Petrol,Manual,First,17,1497,118,5,2.6
Toyota,Toyota Innova 2.0 G1,Chennai,13.09,80.27,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5
Mercedes-Benz,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,18.5236,73.8478,2007,220000,Petrol,Automatic,Second,11.74,1796,186,5,6
Ford,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,13.09,80.27,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45
Mahindra,Mahindra Xylo H4,Chennai,13.09,80.27,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,7.5
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Hyderabad,17.3667,78.4667,2012,210000,Diesel,Manual,First,12.99,2494,100,7,9
Ford,Ford Endeavour XLT TDCi 4X2,Jaipur,26.9167,75.8667,2008,205000,Diesel,Manual,Second,13.1,2499,141,7,3.9
Audi,Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,17.3667,78.4667,2012,202082,Diesel,Automatic,First,17.68,1968,174.33,5,12.3
Tata,Tata Indica V2 DLS BSII,Jaipur,26.9167,75.8667,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85
Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Chennai,13.09,80.27,2011,200000,Diesel,Manual,First,12.8,2494,102,7,9
Tata,Tata Indica V2 DL BSIII,Hyderabad,17.3667,78.4667,2004,200000,Diesel,Manual,Second,17.88,1396,52.8,5,0.85
Hyundai,Hyundai Verna CRDi,Chennai,13.09,80.27,2006,200000,Diesel,Manual,Second,16.8,1493,110,5,1.85
Toyota,Toyota Innova 2.5 G4 Diesel 7-seater,Hyderabad,17.3667,78.4667,2007,199000,Diesel,Manual,Second,12.8,2494,102,7,5.2
Mahindra,Mahindra Xylo E4 ABS BS III,Bangalore,12.9699,77.598,2013,197000,Diesel,Manual,First,11.68,2498,112,7,4
Maruti,Maruti Swift Dzire VDI,Pune,18.5236,73.8478,2014,197000,Diesel,Manual,First,23.4,1248,74,5,5
Toyota,Toyota Innova 2.5 V Diesel 7-seater,Chennai,13.09,80.27,2006,196000,Diesel,Manual,First,12.8,2494,102,7,6.25
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,13.09,80.27,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8,10.5
Toyota,Toyota Fortuner 3.0 Diesel,Hyderabad,17.3667,78.4667,2010,193254,Diesel,Manual,First,11.5,2982,171,7,12.99
Mahindra,Mahindra Bolero SLX 2WD,Bangalore,12.9699,77.598,2006,193000,Diesel,Manual,Third,13.6,2523,63,7,2.5
Toyota,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,13.09,80.27,2008,192000,Diesel,Manual,First,12.8,2494,102,8,6.85
Toyota,Toyota Fortuner 3.0 Diesel,Chennai,13.09,80.27,2011,190000,Diesel,Manual,First,11.5,2982,171,7,13
Toyota,Toyota Etios G,Pune,18.5236,73.8478,2015,190000,Petrol,Manual,Second,16.78,1496,88.73,5,3.85
Honda,Honda City 1.5 EXI,Coimbatore,11,76.9667,2004,186679,Petrol,Manual,Second,13,1493,100,5,1.76
Toyota,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,17.3667,78.4667,2009,185200,Diesel,Manual,First,12.8,2494,102,8,7.25
Tata,Tata Indica Vista Quadrajet LS,Pune,18.5236,73.8478,2014,180000,Diesel,Manual,First,22.3,1248,74,5,2.5
Skoda,Skoda Rapid 1.6 TDI Ambition,Hyderabad,17.3667,78.4667,2012,180000,Diesel,Manual,First,20.5,1598,103.5,5,3.65
Ford,Ford Endeavour 4x2 XLT Limited Edition,Pune,18.5236,73.8478,2009,180000,Diesel,Manual,First,10.9,2499,143,7,7.5
Mitsubishi,Mitsubishi Montero 3.2 GLS,Chennai,13.09,80.27,2007,179032,Diesel,Manual,First,11.56,3200,199.3,7,7.5
Ford,Ford Endeavour Hurricane Limited Edition,Hyderabad,17.3667,78.4667,2008,179000,Diesel,Automatic,Second,12.8,2953,156,7,4.24
Toyota,Toyota Etios Liva GD,Chennai,13.09,80.27,2013,179000,Diesel,Manual,First,23.59,1364,67.04,5,3.8
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,18.5236,73.8478,2008,178280,Diesel,Manual,First,12.8,2494,102,8,5.9
Tata,Tata Indica V2 eLS,Chennai,13.09,80.27,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5
Ford,Ford Fiesta Diesel Style,Chennai,13.09,80.27,2013,177000,Diesel,Manual,First,23.5,1498,88.7,5,3.5
Mahindra,Mahindra Scorpio 2.6 LX,Bangalore,12.9699,77.598,2008,176000,Diesel,Manual,Second,10.5,2179,120,8,4.3
Volkswagen,Volkswagen Vento Diesel Trendline,Chennai,13.09,80.27,2011,173000,Diesel,Manual,First,20.54,1598,103.6,5,4
Volvo,Volvo XC60 D5,Ahmedabad,23.03,72.58,2011,173000,Diesel,Automatic,First,13.5,2400,215,5,12
Fiat,Fiat Linea Emotion Pack (Diesel),Pune,18.5236,73.8478,2010,172050,Diesel,Manual,Second,19,1248,93,5,2.25
Toyota,Toyota Fortuner 3.0 Diesel,Bangalore,12.9699,77.598,2014,171000,Diesel,Manual,First,11.5,2982,171,7,16.75
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,18.5236,73.8478,2007,170428,Diesel,Manual,Second,12.8,2494,102,8,5.7
Hyundai,Hyundai Verna CRDi SX,Jaipur,26.9167,75.8667,2008,170000,Diesel,Manual,Second,16.8,1493,110,5,1.5
Hyundai,Hyundai Xcent 1.1 CRDi Base,Mumbai,18.9667,72.8333,2016,170000,Diesel,Manual,First,24.4,1120,71,5,4
BMW,BMW 3 Series 320d Highline,Chennai,13.09,80.27,2008,170000,Diesel,Automatic,Third,16.07,1995,181,5,9.75
Hyundai,Hyundai Elantra 1.6 SX,Pune,18.5236,73.8478,2013,170000,Diesel,Manual,First,22.54,1582,126.2,5,7.5
BMW,BMW 5 Series 2003-2012 520d,Pune,18.5236,73.8478,2010,170000,Diesel,Automatic,Third,18.48,1995,177,5,12
Toyota,Toyota Fortuner 2.8 4WD MT,Kochi,9.9353,76.2592,2011,169006,Diesel,Manual,First,14.24,2755,174.5,7,10.64
Mahindra,Mahindra Xylo D4,Hyderabad,17.3667,78.4667,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,5
Ford,Ford Figo Diesel Titanium,Chennai,13.09,80.27,2011,169000,Diesel,Manual,First,20,1399,68,5,2.5
Maruti,Maruti Swift Dzire Tour LDI,Kolkata,22.5411,88.3378,2015,168205,Diesel,Manual,First,23.4,1248,74,5,4
Maruti,Maruti Ertiga VDI,Pune,18.5236,73.8478,2012,168000,Diesel,Manual,First,20.77,1248,88.76,7,4.5
Mahindra,Mahindra Xylo E4 ABS BS III,Pune,18.5236,73.8478,2013,167362,Diesel,Manual,First,11.68,2498,112,7,4
Tata,Tata Indigo CS LX (TDI) BS III,Chennai,13.09,80.27,2009,167000,Diesel,Manual,Second,19.09,1396,69,5,2.7
Nissan,Nissan Evalia 2013 XL,Hyderabad,17.3667,78.4667,2013,166194,Diesel,Manual,First,19.3,1461,84.8,7,3.9
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,17.3667,78.4667,2011,166000,Diesel,Manual,First,12.99,2494,100.6,8,8.25
Maruti,Maruti 800 Std BSIII,Jaipur,26.9167,75.8667,2006,165000,Petrol,Manual,First,16.1,796,37,4,0.9
Nissan,Nissan Terrano XV 110 PS,Pune,18.5236,73.8478,2014,163000,Diesel,Manual,First,19.01,1461,108.5,5,5
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,17.3667,78.4667,2012,162663,Diesel,Manual,First,12.99,2494,100,7,10.5
Toyota,Toyota Innova 2.5 G3,Hyderabad,17.3667,78.4667,2007,162000,Diesel,Manual,Second,12.8,2494,102,8,4.8
Hyundai,Hyundai Accent CRDi,Kochi,9.9353,76.2592,2006,160538,Diesel,Manual,First,13.1,1493,82,5,1.8
Ford,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,17.3667,78.4667,2009,160000,Diesel,Manual,First,17.8,1399,68,5,2.8
Fiat,Fiat Linea Emotion Pack (Diesel),Chennai,13.09,80.27,2010,160000,Diesel,Manual,Second,19,1248,93,5,2.5
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,18.5236,73.8478,2014,160000,Diesel,Manual,First,12.99,2494,100,8,12
Toyota,Toyota Corolla H4,Jaipur,26.9167,75.8667,2004,160000,Petrol,Automatic,Second,11.3,1794,125,5,1.5
Tata,Tata Indigo LS,Pune,18.5236,73.8478,2006,160000,Diesel,Manual,First,17,1405,70,5,1
Hyundai,Hyundai Verna CRDi ABS,Chennai,13.09,80.27,2009,160000,Diesel,Manual,Second,18.1,1493,110,5,3.5
Mitsubishi,Mitsubishi Pajero 2.8 SFX,Chennai,13.09,80.27,2008,160000,Diesel,Manual,First,10.5,2835,107.2,6,8.75
Maruti,Maruti Swift VDI,Jaipur,26.9167,75.8667,2012,160000,Diesel,Manual,Second,22.9,1248,74,5,3.9
Maruti,Maruti Swift Dzire Tour LDI,Kolkata,22.5411,88.3378,2013,160000,Diesel,Manual,Second,23.4,1248,74,5,2.5
Toyota,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,17.3667,78.4667,2014,158793,Diesel,Manual,First,12.8,2494,102,7,12.99
Tata,Tata Sumo Delux,Hyderabad,17.3667,78.4667,2000,158000,Diesel,Manual,Second,14.07,2956,83.1,7,1.5
Toyota,Toyota Fortuner 4x2 AT,Hyderabad,17.3667,78.4667,2012,158000,Diesel,Automatic,First,12.55,2982,168.5,7,17.49
Toyota,Toyota Fortuner 4x4 MT,Hyderabad,17.3667,78.4667,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,11.99
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,18.5236,73.8478,2011,156347,Diesel,Manual,Second,12.99,2494,100,8,8
Toyota,Toyota Corolla Altis Diesel D4DG,Hyderabad,17.3667,78.4667,2010,156210,Diesel,Manual,First,21.43,1364,87.2,5,5.99
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,17.3667,78.4667,2009,156056,Diesel,Manual,First,12.8,2494,102,8,8.5
Renault,Renault Duster 85PS Diesel RxL Option,Jaipur,26.9167,75.8667,2013,156000,Diesel,Manual,First,19.87,1461,83.8,5,4.2
Mitsubishi,Mitsubishi Pajero 4X4 LHD,Bangalore,12.9699,77.598,2012,155566,Diesel,Manual,Second,9.5,2835,118.6,6,9.15
Maruti,Maruti Baleno LXI,Pune,18.5236,73.8478,2006,155000,Petrol,Manual,Third,15.4,1590,94,5,0.85
Ford,Ford Endeavour XLT TDCi 4X2,Chennai,13.09,80.27,2007,155000,Diesel,Manual,First,13.1,2499,141,7,5.5
Ford,Ford Endeavour 2.5L 4X2,Hyderabad,17.3667,78.4667,2010,154000,Diesel,Manual,First,13.1,2499,141,7,7.99
Maruti,Maruti Ertiga VDI Limited Edition,Chennai,13.09,80.27,2015,153000,Diesel,Manual,First,20.77,1248,88.76,7,4.8
Honda,Honda Civic 2006-2010 1.8 S AT,Pune,18.5236,73.8478,2008,152633,Petrol,Automatic,First,12.9,1799,130,5,3
Toyota,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,17.3667,78.4667,2012,152000,Diesel,Automatic,First,11.5,2982,169,7,16.5
Honda,Honda Civic 2006-2010 1.8 V MT,Hyderabad,17.3667,78.4667,2008,152000,Petrol,Manual,Second,13.5,1799,130,5,3
Maruti,Maruti Swift Vdi BSIII,Jaipur,26.9167,75.8667,2010,152000,Diesel,Manual,First,17.8,1248,75,5,2.9
Toyota,Toyota Fortuner 3.0 Diesel,Delhi,28.7,77.2,2011,151000,Diesel,Manual,First,11.5,2982,171,7,11.4
Toyota,Toyota Fortuner 2.8 4WD MT,Bangalore,12.9699,77.598,2015,150386,Diesel,Manual,First,14.24,2755,174.5,7,23
Tata,Tata Indigo eCS eLX BS IV,Delhi,28.7,77.2,2015,150000,Diesel,Manual,First,25,1396,69.01,5,2.5
Maruti,Maruti Swift DDiS VDI,Pune,18.5236,73.8478,2008,150000,Diesel,Manual,Second,28.4,1248,74,5,2.7
Mahindra,Mahindra Xylo D2 Maxx,Chennai,13.09,80.27,2016,150000,Diesel,Manual,First,14.95,2489,93.7,9,4.5
Hyundai,Hyundai Accent CRDi,Mumbai,18.9667,72.8333,2005,150000,Diesel,Manual,First,13.1,1493,82,5,0.85
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,Delhi,28.7,77.2,2011,150000,Diesel,Manual,First,12.99,2494,100.6,8,6.95
Toyota,Toyota Platinum Etios 1.4 GXD,Hyderabad,17.3667,78.4667,2015,150000,Diesel,Manual,First,23.59,1364,67.05,5,6
Hyundai,Hyundai Verna CRDi SX ABS,Hyderabad,17.3667,78.4667,2008,150000,Diesel,Manual,First,18.1,1493,110,5,3
Maruti,Maruti Dzire LDI,Pune,18.5236,73.8478,2012,150000,Diesel,Manual,Third,28.4,1248,73.75,5,2.25
Volkswagen,Volkswagen Vento Diesel Highline,Chennai,13.09,80.27,2013,150000,Diesel,Manual,First,20.54,1598,103.6,5,5
Toyota,Toyota Innova 2.0 E,Delhi,28.7,77.2,2006,150000,Petrol,Manual,First,12.4,1998,132,8,4.5
Maruti,Maruti Ritz VXi,Kolkata,22.5411,88.3378,2011,150000,Petrol,Manual,First,18.5,1197,85.8,5,2.5
BMW,BMW X5 3.0d,Chennai,13.09,80.27,2009,150000,Diesel,Automatic,First,11,2993,235,5,18.75
Nissan,Nissan Sunny 2011-2014 Diesel XL,Chennai,13.09,80.27,2012,150000,Diesel,Manual,First,21.64,1461,84.8,5,3.5
Toyota,Toyota Fortuner 3.0 Diesel,Jaipur,26.9167,75.8667,2009,149706,Diesel,Manual,First,11.5,2982,171,7,11
Renault,Renault Duster 110PS Diesel RxZ,Chennai,13.09,80.27,2012,149000,Diesel,Manual,First,19.01,1461,108.45,5,7.25
Toyota,Toyota Fortuner 3.0 Diesel,Jaipur,26.9167,75.8667,2011,148009,Diesel,Manual,Second,11.5,2982,171,7,12.75
Maruti,Maruti Swift Dzire Tour LDI,Kolkata,22.5411,88.3378,2017,148000,Diesel,Manual,First,23.4,1248,74,5,4.75
Tata,Tata Manza ELAN Quadrajet BS IV,Pune,18.5236,73.8478,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,2.9
Hyundai,Hyundai Santa Fe 4X4,Bangalore,12.9699,77.598,2011,148000,Diesel,Manual,Second,14.66,2199,194.3,7,8.9
Ford,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,9.9353,76.2592,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42
Toyota,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,17.3667,78.4667,2015,147848,Diesel,Manual,First,12.8,2494,102,8,13.2
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,26.9167,75.8667,2006,147350,Diesel,Manual,Second,12.99,2494,100.6,8,4.95
Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater,Hyderabad,17.3667,78.4667,2009,147000,Diesel,Manual,First,12.99,2494,100.6,7,7.5
Maruti,Maruti Ritz VDi,Hyderabad,17.3667,78.4667,2012,146824,Diesel,Manual,First,21.1,1248,73.9,5,3.55
Toyota,Toyota Fortuner 3.0 Diesel,Pune,18.5236,73.8478,2011,146300,Diesel,Manual,First,11.5,2982,171,7,12.25
Maruti,Maruti Baleno Vxi - BSIII,Pune,18.5236,73.8478,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,1.05
Hyundai,Hyundai Xcent 1.2 Kappa S,Kolkata,22.5411,88.3378,2016,146000,Petrol,Manual,Second,19.1,1197,82,5,3.5
Ford,Ford Fiesta 1.6 ZXi ABS,Hyderabad,17.3667,78.4667,2007,145277,Petrol,Manual,First,15.3,1596,101,5,1.65
Fiat,Fiat Linea Emotion (Diesel),Kolkata,22.5411,88.3378,2010,145000,Diesel,Manual,First,20.4,1248,91.7,5,2.6
Maruti,Maruti Wagon R LXI,Jaipur,26.9167,75.8667,2006,145000,Petrol,Manual,First,18.9,998,67.1,5,1.15
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Chennai,13.09,80.27,2007,145000,Diesel,Manual,First,12.8,2494,102,8,5
Toyota,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,17.3667,78.4667,2011,144471,Diesel,Manual,First,12.8,2494,102,8,7.8
Mahindra,Mahindra Scorpio VLX,Bangalore,12.9699,77.598,2010,144400,Diesel,Manual,Third,12.05,2179,120,8,5.25
Toyota,Toyota Fortuner 3.0 Diesel,Jaipur,26.9167,75.8667,2010,144113,Diesel,Manual,Second,11.5,2982,171,7,11.75
Maruti,Maruti Swift Dzire LDI,Jaipur,26.9167,75.8667,2015,144000,Diesel,Manual,First,26.59,1248,74,5,5.25
Volkswagen,Volkswagen Vento Diesel Highline,Jaipur,26.9167,75.8667,2013,144000,Diesel,Manual,First,20.54,1598,103.6,5,7
Mahindra,Mahindra XUV500 W8 1.99 mHawk,Chennai,13.09,80.27,2011,143354,Diesel,Manual,Second,16,1997,140,7,6
Hyundai,Hyundai Verna CRDi 1.6 SX,Hyderabad,17.3667,78.4667,2008,143275,Diesel,Manual,First,22,1582,126.2,5,2.6
Ford,Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,17.3667,78.4667,2011,143143,Diesel,Manual,First,17.8,1399,67,5,2.1
Skoda,Skoda Laura Ambiente 2.0 TDI CR AT,Coimbatore,11,76.9667,2012,143017,Diesel,Automatic,First,20,1968,138.1,5,6.58
Hyundai,Hyundai Getz 1.3 GLS,Pune,18.5236,73.8478,2007,143000,Petrol,Manual,Second,14.2,1341,82.9,5,1.1
Renault,Renault Duster 110PS Diesel RxL,Pune,18.5236,73.8478,2014,142000,Diesel,Manual,Second,19.01,1461,108.45,5,6
Toyota,Toyota Innova 2.5 G4 Diesel 7-seater,Hyderabad,17.3667,78.4667,2006,142000,Diesel,Manual,First,12.8,2494,102,7,6.25
Maruti,Maruti Wagon R VXI,Mumbai,18.9667,72.8333,2006,141537,Petrol,Manual,Second,18.9,998,67.1,5,1.05
Honda,Honda City 1.3 EXI,Pune,18.5236,73.8478,1999,140000,Petrol,Manual,First,13,1343,90,5,0.9
Toyota,Toyota Fortuner 2.8 4WD MT,Mumbai,18.9667,72.8333,2010,140000,Diesel,Manual,First,14.24,2755,174.5,7,10.75
Maruti,Maruti Swift Ldi BSIII,Chennai,13.09,80.27,2007,140000,Diesel,Manual,Second,17.8,1248,75,5,2
Toyota,Toyota Innova 2.5 GX 7 STR,Pune,18.5236,73.8478,2010,140000,Diesel,Manual,Third,12.8,2494,102,7,6.25
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,Jaipur,26.9167,75.8667,2007,140000,Petrol,Manual,First,15.26,1150,74.9,5,0.9
Maruti,Maruti Swift Ldi BSIV,Pune,18.5236,73.8478,2009,140000,Diesel,Manual,Second,17.8,1248,75,5,2.49
Hyundai,Hyundai Santro D Lite,Chennai,13.09,80.27,2001,140000,Petrol,Manual,Third,20.3,1086,68,5,0.7
Mahindra,Mahindra XUV500 W8 2WD,Hyderabad,17.3667,78.4667,2013,140000,Diesel,Manual,Second,15.1,2179,140,7,9
Ford,Ford Figo Diesel EXI,Jaipur,26.9167,75.8667,2012,140000,Diesel,Manual,First,20,1399,68,5,2.51
Toyota,Toyota Fortuner 3.0 Diesel,Pune,18.5236,73.8478,2009,138205,Diesel,Manual,Second,11.5,2982,171,7,10.5
Tata,Tata Indigo LS Dicor,Pune,18.5236,73.8478,2008,138000,Diesel,Manual,Second,17.1,1396,70,5,1.25
Honda,Honda City 1.5 V MT,Pune,18.5236,73.8478,2009,138000,Petrol,Manual,Second,17,1497,118,5,3.5
Maruti,Maruti Zen Estilo 1.1 VXI BSIII,Delhi,28.7,77.2,2008,138000,Petrol,Manual,First,18.2,1061,64,5,1.2
Honda,Honda Amaze VX i-DTEC,Pune,18.5236,73.8478,2016,138000,Diesel,Manual,First,25.8,1498,98.6,5,5.15
Tata,Tata Indica Vista Quadrajet VX,Hyderabad,17.3667,78.4667,2012,137800,Diesel,Manual,First,22.3,1248,74,5,2.2
Hyundai,Hyundai Verna Xi (Petrol),Kochi,9.9353,76.2592,2009,137148,Petrol,Manual,Second,13.9,1599,103.2,5,1.85
Chevrolet,Chevrolet Cruze LTZ AT,Pune,18.5236,73.8478,2012,137008,Diesel,Automatic,First,18.1,1991,147.9,4,4.65
Mercedes-Benz,Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,18.5236,73.8478,2010,137000,Diesel,Automatic,First,13.5,2987,282,5,18.5
BMW,BMW 3 Series 320d,Chennai,13.09,80.27,2009,137000,Diesel,Automatic,Second,13.2,1995,170,5,9
Tata,Tata Indica GLS BS IV,Pune,18.5236,73.8478,2007,137000,Petrol,Manual,Second,15.3,1193,65.3,5,0.95
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,Pune,18.5236,73.8478,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5
Hyundai,Hyundai Santro Xing GLS,Chennai,13.09,80.27,2009,136642,Petrol,Manual,Second,17.92,1086,62.1,5,1.55
Toyota,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,17.3667,78.4667,2011,136490,Diesel,Manual,First,12.8,2494,102,7,9.8
Skoda,Skoda Superb Elegance 1.8 TSI MT,Pune,18.5236,73.8478,2014,136000,Petrol,Manual,First,13.1,1798,157.75,5,9.5
Toyota,Toyota Fortuner 3.0 Diesel,Chennai,13.09,80.27,2010,136000,Diesel,Manual,Second,11.5,2982,171,7,11
Ford,Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,17.3667,78.4667,2014,135670,Diesel,Manual,First,22.7,1498,89.84,5,6.55
Toyota,Toyota Fortuner 3.0 Diesel,Chennai,13.09,80.27,2010,135000,Diesel,Manual,Second,11.5,2982,171,7,11
Maruti,Maruti Swift Vdi BSIII,Pune,18.5236,73.8478,2010,135000,Diesel,Manual,First,17.8,1248,75,5,3.1
Renault,Renault Duster 110PS Diesel RxZ,Pune,18.5236,73.8478,2012,135000,Diesel,Manual,First,19.01,1461,108.45,5,5.4
Toyota,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,17.3667,78.4667,2009,135000,Diesel,Manual,Second,12.8,2494,102,8,8.2
Hyundai,Hyundai Xcent 1.1 CRDi Base,Mumbai,18.9667,72.8333,2016,135000,Diesel,Manual,First,24.4,1120,71,5,4.2
Ford,Ford Ikon 1.4 TDCi DuraTorq,Jaipur,26.9167,75.8667,2010,135000,Diesel,Manual,First,13.8,1399,68,5,1.6
Toyota,Toyota Camry W2 (AT),Chennai,13.09,80.27,2009,135000,Petrol,Automatic,First,12.1,2362,164.7,5,4.7
Honda,Honda CR-V Petrol 2WD,Chennai,13.09,80.27,2004,135000,Petrol,Automatic,Third,14.4,1997,152,5,3
Maruti,Maruti Wagon R VXI Minor,Chennai,13.09,80.27,2010,134000,Petrol,Manual,Second,18.9,1061,67,5,1.65
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,17.3667,78.4667,2014,133944,Diesel,Manual,Second,18,1248,75,5,3.5
Tata,Tata Indica V2 DLS TC,Kolkata,22.5411,88.3378,2008,133000,Diesel,Manual,First,16.8,1405,62,5,0.7
Tata,Tata Indica V2 DLG TC,Mumbai,18.9667,72.8333,2006,133000,Diesel,Manual,Second,16.8,1405,68,5,0.86
Mitsubishi,Mitsubishi Pajero Sport 4X4,Bangalore,12.9699,77.598,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49
Toyota,Toyota Etios G SP,Bangalore,12.9699,77.598,2013,132000,Petrol,Manual,First,16.78,1496,88.73,5,4.7
Mahindra,Mahindra Xylo D4 BS III,Hyderabad,17.3667,78.4667,2016,132000,Diesel,Manual,First,14.95,2489,93.7,7,5.5
Skoda,Skoda Octavia Elegance 1.9 TDI,Hyderabad,17.3667,78.4667,2003,132000,Diesel,Manual,First,18.7,1896,66,5,2.25
Toyota,Toyota Fortuner 4x2 Manual,Mumbai,18.9667,72.8333,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5
